County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Autauga, alabama",55395,1.5,91.8,24571,75.9,20.9,Trump
"Baldwin, alabama",200111,9.8,114.6,26766,83.1,27.7,Trump
"Barbour, alabama",26887,-2.1,31,16829,46.3,13.4,Trump
"Bibb, alabama",22506,-1.8,36.8,17427,74.6,12.1,Trump
"Blount, alabama",57719,0.7,88.9,20730,87.8,12.1,Trump
"Bullock, alabama",10764,-1.4,17.5,18628,22.2,12.5,Clinton
"Butler, alabama",20296,-3.1,27,17403,53.5,14,Trump
"Calhoun, alabama",115916,-2.3,195.7,20828,73.1,16.1,Trump
"Chambers, alabama",34076,-0.3,57.4,19291,57.4,11.8,Trump
"Cherokee, alabama",26037,0.2,46.9,22030,91.8,12.8,Trump
"Chilton, alabama",43931,0.7,63,20701,80.7,12.9,Trump
"Choctaw, alabama",13323,-3.9,15.2,20323,55.8,11.8,Trump
"Clarke, alabama",24945,-3.5,20.9,18979,53.2,11.2,Trump
"Clay, alabama",13552,-2.7,23.1,18694,80,9.2,Trump
"Cleburne, alabama",15080,0.7,26.7,19108,92.6,9,Trump
"Coffee, alabama",50909,1.9,73.6,23380,71.5,22.5,Trump
"Colbert, alabama",54543,0.2,91.8,21572,78.8,17.7,Trump
"Conecuh, alabama",12670,-4.2,15.6,15605,51.2,8.8,Trump
"Coosa, alabama",10886,-7.4,17.7,18493,65.3,9.8,Trump
"Covington, alabama",37914,0.4,36.6,20391,83.4,14.2,Trump
"Crenshaw, alabama",13977,0.5,22.8,21343,70.4,12.7,Trump
"Cullman, alabama",81289,1.1,109.4,20760,92.2,14.8,Trump
"Dale, alabama",49484,-1.5,89.6,22685,70.8,17,Trump
"Dallas, alabama",41711,-4.8,44.8,17245,28.5,14.2,Clinton
"DeKalb, alabama",71065,-0.1,91.5,18149,80.7,10.7,Trump
"Elmore, alabama",80977,2.1,128.2,23856,73.9,21,Trump
"Escambia, alabama",37733,-1.5,40.5,16540,60.7,11.7,Trump
"Etowah, alabama",103531,-0.9,195.2,20204,78.5,14.8,Trump
"Fayette, alabama",16874,-2.1,27.5,18494,85.1,13.2,Trump
"Franklin, alabama",31601,-0.3,50,18888,78.7,11,Trump
"Geneva, alabama",26712,-0.3,46.6,20199,84.3,10.4,Trump
"Greene, alabama",8553,-5.4,14,14930,18.2,12.8,Clinton
"Hale, alabama",15184,-3.7,24.5,18812,40.2,12.8,Clinton
"Henry, alabama",17190,-0.6,30.8,21924,68.2,16.6,Trump
"Houston, alabama",104193,2.6,175.1,23316,67.7,19.7,Trump
"Jackson, alabama",52665,-1.1,49.4,20486,89.8,13,Trump
"Jefferson, alabama",660793,0.4,592.5,26906,51,30,Clinton
"Lamar, alabama",14086,-3.3,24.1,19026,85.7,9.5,Trump
